GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
1400000US36029000110,36029000110,"Census Tract 1.10, Erie County, New York",2598,354,2375,362,77,62,5,8,0,89,0,89,37,42,104,71,39,47,65,55
1400000US36029000200,36029000200,"Census Tract 2, Erie County, New York",4143,349,3520,355,83,83,0,89,71,84,0,89,357,243,112,71,9,15,103,69
1400000US36029000500,36029000500,"Census Tract 5, Erie County, New York",2219,383,2189,382,22,41,5,8,2,6,0,89,0,89,1,2,0,89,1,2
1400000US36029000600,36029000600,"Census Tract 6, Erie County, New York",4829,542,4230,498,598,448,0,89,0,89,0,89,0,89,1,2,0,89,1,2
1400000US36029000700,36029000700,"Census Tract 7, Erie County, New York",3816,327,3750,339,9,14,0,89,0,89,0,89,14,19,43,48,0,89,43,48
1400000US36029000800,36029000800,"Census Tract 8, Erie County, New York",5298,439,4974,416,128,135,59,59,0,89,0,89,44,47,93,71,31,42,62,50
1400000US36029000900,36029000900,"Census Tract 9, Erie County, New York",2223,259,2142,258,37,58,0,89,33,44,0,89,1,3,10,15,0,89,10,15
1400000US36029001000,36029001000,"Census Tract 10, Erie County, New York",5872,546,5299,548,156,170,62,64,69,78,0,89,18,30,268,214,0,89,268,214
1400000US36029001100,36029001100,"Census Tract 11, Erie County, New York",2643,255,2470,267,150,104,13,20,0,89,0,89,0,89,10,15,0,89,10,15
1400000US36029001402,36029001402,"Census Tract 14.02, Erie County, New York",3735,453,112,88,3487,458,9,14,0,89,0,89,49,79,78,59,0,89,78,59
1400000US36029001500,36029001500,"Census Tract 15, Erie County, New York",1400,261,149,71,1215,251,19,31,0,89,0,89,0,89,17,28,0,89,17,28
1400000US36029001600,36029001600,"Census Tract 16, Erie County, New York",1985,318,482,116,1142,241,10,17,142,114,0,89,29,42,180,163,0,89,180,163
1400000US36029001700,36029001700,"Census Tract 17, Erie County, New York",1953,327,1342,279,493,269,0,89,0,89,0,89,58,92,60,50,0,89,60,50
1400000US36029001900,36029001900,"Census Tract 19, Erie County, New York",2797,299,2670,303,75,103,0,89,0,89,0,89,52,65,0,89,0,89,0,89
1400000US36029002300,36029002300,"Census Tract 23, Erie County, New York",3228,441,2844,419,222,178,0,89,0,89,0,89,13,21,149,120,11,18,138,118
