college,sport,city,division,enrollment_male,enrollment_female,enrollment_total,college_type,gender,participants_male,participants_female,opexp_per_male,opexp_per_male_team,opexp_per_female,opexp_per_female_team, revenue_male,revenue_female,expense_male,expense_female
Syracuse University,All Track Combined,Syracuse,NCAA Division I-A,"6,394","7,835","14,229","Private nonprofit, 4-year or above",Men,92,,"$2,452 ","$225,564 ",,,"$956,584 ",,"$1,439,540 ",
Cornell University,All Track Combined,Ithaca,NCAA Division I-AA,"6,976","7,206","14,182","Private nonprofit, 4-year or above",Men,178,,"$1,282 ","$228,146 ",,,"$818,196 ",,"$818,196 ",
Iona College,All Track Combined,New Rochelle,NCAA Division I-AA,"1,394","1,599","2,993","Private nonprofit, 4-year or above",Men,95,,$578 ,"$54,912 ",,,"$802,807 ",,"$802,807 ",
Manhattan College,All Track Combined,Riverdale,NCAA Division I-AAA,"1,811","1,465","3,276","Private nonprofit, 4-year or above",Men,114,,"$1,177 ","$134,180 ",,,"$724,310 ",,"$724,310 ",
Fordham University,All Track Combined,Bronx,NCAA Division I-AA,"3,667","4,367","8,034","Private nonprofit, 4-year or above",Men,91,,"$1,019 ","$92,728 ",,,"$577,995 ",,"$577,995 ",
University at Buffalo,All Track Combined,Buffalo,NCAA Division I-A,"9,949","8,042","17,991","Public, 4-year or above",Men,107,,"$1,939 ","$207,481 ",,,"$494,527 ",,"$494,527 ",
Columbia University - NYC,All Track Combined,New York,NCAA Division I-AA,"3,926","3,570","7,496","Private nonprofit, 4-year or above",Men,109,,"$1,752 ","$191,006 ",,,"$472,306 ",,"$472,306 ",
SUNY at Binghamton,All Track Combined,Vestal,NCAA Division I-AAA,"6,746","6,160","12,906","Public, 4-year or above",Men,129,,$540 ,"$69,714 ",,,"$361,387 ",,"$349,680 ",
Wagner College,All Track Combined,Staten Island,NCAA Division I-A,657,"1,105","1,762","Private nonprofit, 4-year or above",Men,47,,"$1,165 ","$54,776 ",,,"$307,987 ",,"$328,961 ",
New York University,All Track Combined,New York,NCAA Division III (without football),"10,184","13,266","23,450","Private nonprofit, 4-year or above",Men,147,,"$1,300 ","$191,078 ",,,"$295,188 ",,"$292,026 ",
Stony Brook University,All Track Combined,Stony Brook,NCAA Division I-AA,"8,253","6,890","15,143","Public, 4-year or above",Men,98,,$868 ,"$85,088 ",,,"$1,567,622 ",,"$261,972 ",
Marist College,All Track Combined,Poughkeepsie,NCAA Division I-AA,"1,993","2,879","4,872","Private nonprofit, 4-year or above",Men,98,,$975 ,"$95,513 ",,,"$231,336 ",,"$231,336 ",
