college,sport,city,division,enrollment_male,enrollment_female,enrollment_total,college_type,gender,participants_male,participants_female,opexp_per_male,opexp_per_male_team,opexp_per_female,opexp_per_female_team, revenue_male,revenue_female,expense_male,expense_female
Syracuse University,All Track Combined,Syracuse,NCAA Division I-A,6394,7835,14229,"Private nonprofit, 4-year or above",Men,92,,2452,225564,,,956584,,1439540,
Cornell University,All Track Combined,Ithaca,NCAA Division I-AA,6976,7206,14182,"Private nonprofit, 4-year or above",Men,178,,1282,228146,,,818196,,818196,
Iona College,All Track Combined,New Rochelle,NCAA Division I-AA,1394,1599,2993,"Private nonprofit, 4-year or above",Men,95,,578,54912,,,802807,,802807,
Manhattan College,All Track Combined,Riverdale,NCAA Division I-AAA,1811,1465,3276,"Private nonprofit, 4-year or above",Men,114,,1177,134180,,,724310,,724310,
Fordham University,All Track Combined,Bronx,NCAA Division I-AA,3667,4367,8034,"Private nonprofit, 4-year or above",Men,91,,1019,92728,,,577995,,577995,
University at Buffalo,All Track Combined,Buffalo,NCAA Division I-A,9949,8042,17991,"Public, 4-year or above",Men,107,,1939,207481,,,494527,,494527,
Columbia University - NYC,All Track Combined,New York,NCAA Division I-AA,3926,3570,7496,"Private nonprofit, 4-year or above",Men,109,,1752,191006,,,472306,,472306,
SUNY at Binghamton,All Track Combined,Vestal,NCAA Division I-AAA,6746,6160,12906,"Public, 4-year or above",Men,129,,540,69714,,,361387,,349680,
Wagner College,All Track Combined,Staten Island,NCAA Division I-A,657,1105,1762,"Private nonprofit, 4-year or above",Men,47,,1165,54776,,,307987,,328961,
New York University,All Track Combined,New York,NCAA Division III (without football),10184,13266,23450,"Private nonprofit, 4-year or above",Men,147,,1300,191078,,,295188,,292026,
Stony Brook University,All Track Combined,Stony Brook,NCAA Division I-AA,8253,6890,15143,"Public, 4-year or above",Men,98,,868,85088,,,1567622,,261972,
Marist College,All Track Combined,Poughkeepsie,NCAA Division I-AA,1993,2879,4872,"Private nonprofit, 4-year or above",Men,98,,975,95513,,,231336,,231336,
Ithaca College,All Track Combined,Ithaca,NCAA Division III (with football),2551,3452,6003,"Private nonprofit, 4-year or above",Men,129,,781,100694,,,221163,,221163,
LIU Post,All Track Combined,Brookville,NCAA Division II (with football),1317,2038,3355,"Private nonprofit, 4-year or above",Men,34,,1228,41757,,,210952,,210952,
St Francis College,All Track Combined,Brooklyn Heights,NCAA Division I-AAA,1059,1354,2413,"Private nonprofit, 4-year or above",Men,41,,1270,52050,,,178758,,178758,
