college,sport,participants_male,participants_female,opexp_per_male,opexp_per_male_team,opexp_per_female,opexp_per_female_team,revenue_male,revenue_female,expense_male,expense_female
Adelphi University,Baseball,34,,4360,148245,0,0,433287,,433287,
Adelphi University,Basketball,15,15,6643,99646,7134,107004,566891,607774,566891,607774
Adelphi University,Field Hockey,,23,0,0,2692,61924,,304566,,304566
Adelphi University,Golf,6,3,2600,15597,3711,11132,98788,51076,98788,51076
Adelphi University,Lacrosse,41,29,3392,139069,3819,110765,570963,515935,570963,515935
Adelphi University,Soccer,31,27,2544,78857,3292,88893,546667,432720,546667,432720
Adelphi University,Softball,,16,0,0,5701,91221,,339043,,339043
Adelphi University,Swimming,13,19,2282,29671,2282,43366,107392,115866,107392,115866
Adelphi University,Tennis,7,7,2846,19925,2308,16155,154406,147365,154406,147365
Adelphi University,"Track and Field, Indoor",28,24,406,11356,406,9734,71170,81044,71170,81044
Adelphi University,"Track and Field, Outdoor",28,24,406,11356,406,9734,75670,81044,75670,81044
Adelphi University,"Track and Field, X-Country",18,11,3347,60240,3347,36814,88336,54137,88336,54137
Adelphi University,Volleyball,,10,0,0,7125,71250,,323864,,323864
Adelphi University,Bowling,,13,0,0,4441,57738,,163032,,163032
Adirondack Community College,Baseball,21,,469,9853,0,0,20998,,17984,
Adirondack Community College,Basketball,14,8,1320,18476,2013,16106,33801,32021,33690,31841
Adirondack Community College,Golf,4,,1590,6361,0,0,11684,,8470,
Adirondack Community College,Soccer,20,,831,16610,0,0,27457,,24761,
Adirondack Community College,Softball,,13,0,0,764,9927,,15124,,17687
Adirondack Community College,Tennis,8,6,203,1623,474,2845,8201,10425,5747,6115
Adirondack Community College,Volleyball,,12,0,0,1440,17284,,24911,,27402
Adirondack Community College,Bowling,5,5,651,3254,651,3254,7177,7177,5101,5101
Albany College of Pharmacy and Health Sciences,Basketball,14,13,1331,18630,1563,20314,37769,39814,29380,39841
Albany College of Pharmacy and Health Sciences,Soccer,24,23,606,14535,742,17077,24190,38015,22120,35940
Albany College of Pharmacy and Health Sciences,"Track and Field, Outdoor",13,20,267,3474,267,5344,7911,9781,6498,8368
Albany College of Pharmacy and Health Sciences,"Track and Field, X-Country",10,14,269,2685,269,3759,6918,7992,8312,9186
Alfred University,Basketball,17,11,2097,35654,2916,32071,115795,108952,115795,108952
Alfred University,Football,126,,671,84557,0,0,470022,,470022,
Alfred University,Lacrosse,40,15,1297,51887,1112,16678,143883,77076,143883,77076
Alfred University,Skiing,5,4,1485,7424,1485,5940,8424,6940,8424,6940
Alfred University,Soccer,24,23,1106,26543,906,20836,115266,105795,115266,105795
Alfred University,Softball,,17,0,0,2335,39693,,135880,,135880
Alfred University,Swimming and Diving,24,17,1092,26217,1092,18571,86288,71634,86288,71634
Alfred University,Tennis,7,12,583,4080,372,4462,9853,11271,9853,11271
Alfred University,"Track and Field, Indoor",36,14,230,8296,230,3226,8782,3712,8782,3712
Alfred University,"Track and Field, Outdoor",36,14,230,8296,230,3226,11752,6682,11752,6682
Alfred University,"Track and Field, X-Country",12,10,143,1715,143,1429,8817,8531,8817,8531
Alfred University,Volleyball,,13,0,0,1115,14495,,60287,,60287
Appalachian State University,Baseball,35,,6222,217784,0,0,758624,,758624,
Bard College,Baseball,21,,2250,47259,0,0,135191,,119472,
Bard College,Basketball,15,9,2820,42294,3272,29445,187324,87139,112647,85373
Bard College,Lacrosse,19,18,3492,66340,1806,32508,140044,89059,132411,89059
Bard College,Soccer,25,21,1087,27177,1853,38920,141021,82390,88783,80500
Bard College,Squash,10,,887,8873,0,0,21873,,21873,
Bard College,Swimming,14,16,1179,16509,1052,16831,23835,24157,22865,23187
Bard College,Tennis,10,12,616,6160,527,6323,11231,12894,10171,11834
Bard College,"Track and Field, Outdoor",13,18,353,4585,353,6350,8252,10017,8252,10017
Bard College,"Track and Field, X-Country",9,13,542,4879,521,6773,8883,10777,8883,10777
Bard College,Volleyball,12,13,2889,34671,2744,35669,69202,67911,66802,65511
Berkeley College-New York,Basketball,13,8,8025,104325,10526,84205,127325,97205,127325,97205
Berkeley College-New York,Soccer,23,18,3597,82740,2458,44250,97740,52750,97740,52750
Berkeley College-New York,Tennis,8,13,2545,20356,1335,17356,27356,24356,27356,24356
Berkeley College-New York,"Track and Field, X-Country",7,5,3054,21377,4000,20000,24378,23000,24378,23000
Bryant & Stratton College-Syracuse,All Track Combined,22,5,1288,28325,3914,19569,135770,62832,135770,62832
Bryant & Stratton College-Syracuse,Soccer,31,18,2266,70241,3199,57576,366742,281052,366742,281052
Canisius College,Baseball,38,,4277,162528,0,0,710265,,710265,
Canisius College,Basketball,13,12,20725,269430,13404,160843,2050411,1385578,2050411,1385578
Canisius College,All Track Combined,58,61,626,36300,626,38177,148951,171921,148951,171921
Canisius College,Golf,7,,3924,27465,0,0,106800,,106800,
Canisius College,Ice Hockey,28,,7146,200074,0,0,991566,,991566,
Canisius College,Lacrosse,48,26,2629,126173,3485,90606,603606,455752,603606,455752
Canisius College,Rowing,,37,0,0,1273,47086,,241357,,241357
Canisius College,Soccer,26,27,1834,47688,2260,61020,507728,532035,507728,532035
Canisius College,Softball,,16,0,0,8136,130173,,635752,,635752
Canisius College,Swimming and Diving,31,24,1662,51524,1662,39890,191012,162738,191012,162738
Canisius College,Volleyball,,14,0,0,6174,86437,,560877,,560877
Cayuga County Community College,Basketball,15,10,1609,24142,2762,27622,34142,39622,34142,39622
Cayuga County Community College,Golf,4,1,1393,5572,1393,1393,9525,3256,9525,3256
Cayuga County Community College,Lacrosse,10,,242,2419,0,0,8769,,8769,
Cayuga County Community College,Soccer,33,18,1278,42176,1274,22924,53276,32294,53276,32294
Cayuga County Community College,Softball,,16,0,0,1563,25015,,35015,,35015
Cayuga County Community College,Volleyball,,12,0,0,1536,18435,,28435,,28435
Cayuga County Community College,Bowling,8,3,2375,18996,2375,7126,21496,9626,21496,9626
Cazenovia College,Baseball,32,,1458,46655,0,0,61090,,61090,
Cazenovia College,Basketball,15,16,2817,42260,1895,30320,57712,38764,57712,38764
Cazenovia College,Lacrosse,26,19,1217,31640,1002,19030,41890,25380,41890,25380
Cazenovia College,Soccer,24,22,573,13748,1361,29945,24905,38399,24905,38399
Cazenovia College,Softball,,19,0,0,1724,32764,,38364,,38364
Cazenovia College,Swimming and Diving,,16,0,0,960,15354,,19738,,19738
Cazenovia College,Swimming,5,,1285,6427,0,0,10244,,10244,
Cazenovia College,"Track and Field, X-Country",6,9,565,3387,565,5081,5544,7238,5544,7238
Cazenovia College,Volleyball,,13,0,0,874,11366,,19458,,19458
Clarkson University,Baseball,23,,927,21332,0,0,140359,,138990,
Clarkson University,Basketball,15,12,2677,40149,2756,33067,149095,116751,145403,116332
Clarkson University,Golf,10,,1393,13932,0,0,113639,,113639,
Clarkson University,Ice Hockey,27,20,11651,314567,11331,226626,2543400,1821685,2193204,1724456
Clarkson University,Lacrosse,43,29,1197,51465,990,28722,161477,159682,150075,159447
Clarkson University,Skiing,11,8,4303,47332,4302,34416,113686,82663,113406,82943
Clarkson University,Soccer,25,24,1384,34598,1228,29462,144430,164882,137289,164482
Clarkson University,Softball,,16,0,0,2394,38304,,136838,,135431
Clarkson University,Swimming,25,13,1093,27330,1093,14205,107887,56074,107191,56176
Clarkson University,"Track and Field, X-Country",24,15,597,14335,598,8973,36436,22810,36438,22810
Clarkson University,Volleyball,,14,0,0,4166,58324,,207263,,207263
Clarkson University,Other Sports,16,10,1918,30690,1921,19212,54325,34009,54326,34010
Clinton Community College,Baseball,13,,654,8500,0,0,14450,,14450,
Clinton Community College,Basketball,18,12,833,15000,1250,15000,26200,26200,26200,26200
Clinton Community College,Soccer,17,16,588,10000,625,10000,16950,16950,16950,16950
Clinton Community College,Softball,,13,0,0,654,8500,,14450,,14450
Colgate University,Basketball,18,14,15196,273521,13499,188985,1733114,1450800,1733114,1450800
Colgate University,All Track Combined,81,66,691,56004,898,59295,178297,173941,178297,173941
Colgate University,Field Hockey,,26,0,0,3506,91168,,635235,,635235
Colgate University,Football,89,,6487,577361,0,0,5273887,,5273887,
Colgate University,Golf,9,,4927,44342,0,0,128167,,128167,
Colgate University,Ice Hockey,27,23,13807,372790,7752,178290,1854794,1538995,1854794,1538995
Colgate University,Lacrosse,48,32,5163,247809,3926,125644,1020487,1005550,1020487,1005550
Colgate University,Rowing,21,29,1387,29118,998,28934,156182,148911,156182,148911
Colgate University,Soccer,27,30,3977,107375,4712,141361,819906,1103573,819906,1103573
Colgate University,Softball,,16,0,0,5972,95556,,737623,,737623
Colgate University,Swimming and Diving,16,19,3990,63843,4350,82653,171034,494156,171034,494156
Colgate University,Tennis,12,8,6132,73583,6132,49055,155951,103964,155951,103964
Colgate University,Volleyball,,17,0,0,5225,88824,,623508,,623508
College of Mount Saint Vincent,Baseball,22,,1467,32283,0,0,72831,,68571,
College of Mount Saint Vincent,Basketball,17,14,1324,22509,2149,30089,60766,58823,55852,60567
